Row.names	PathwayMutatedGenes	BRCAXControl_NumNonMuts	BRCAXControl_NumMuts	BRCAXCancer_NumNonMuts	BRCAXCancer_NumMuts	BRCAXControl_MutationRate	BRCAXCancer_MutationRate	FisherOddsRatio	Fisher_P	ExactTestStatistic	Exact_P
KEGG_ERBB_SIGNALING_PATHWAY	STAT5A(1);MTOR(1),NRG2(1),PIK3CA(2),PIK3R5(1),SHC2(1)	6	1	5	6	0.142857142857	0.545454545455	6.44752723728181	0.111990950226244	1.70807612078828	0.0625725650207847
KEGG_HEPATITIS_C	TRAF2(1);CLDN23(2),OAS1(2),PIK3CA(2),PIK3R5(1),SCARB1(2),TRAF2(3)	6	1	5	6	0.142857142857	0.545454545455	6.44752723728181	0.111990950226244	1.70807612078828	0.0625725650207847
KEGG_SMALL_CELL_LUNG_CANCER	TRAF2(1);PIK3CA(2),PIK3R5(1),TRAF2(3)	6	1	5	6	0.142857142857	0.545454545455	6.44752723728181	0.111990950226244	1.70807612078828	0.0625725650207847
REACTOME_PI3K_AKT_SIGNALLING	MDM2(1);MDM2(3),MTOR(1),PIK3CA(2)	6	1	5	6	0.142857142857	0.545454545455	6.44752723728181	0.111990950226244	1.70807612078828	0.0625725650207847
BIOCARTA_GCR_PATHWAY	;CORIN(1),PIK3CA(2)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
BIOCARTA_IGF1MTOR_PATHWAY	;IGF1R(1),MTOR(1),PIK3CA(2)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
BIOCARTA_NKT_PATHWAY	;CCR5(1),CXCR3(1),TGFB2(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
BIOCARTA_NTHI_PATHWAY	;TGFBR1(3)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC	;ITGA4(2),SGCA(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
KEGG_CARBOHYDRATE_DIGESTION_AND_ABSORPTION	;PIK3CA(2),PIK3R5(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
KEGG_ENDOMETRIAL_CANCER	;ILK(1),PIK3CA(2),PIK3R5(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
KEGG_NICOTINATE_AND_NICOTINAMIDE_METABOLISM	;NT5C2(1),NT5C3(2),NT5M(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
KEGG_NON_SMALL_CELL_LUNG_CANCER	;PIK3CA(2),PIK3R5(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS	;CRYL1(1),UGT1A3(2)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
KEGG_RIBOSOME	;RPL7(2),RPS16(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY	;PIK3CA(2),PIK3R5(1),PTPN6(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY	;PIK3CA(2),PIK3R5(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_A_THIRD_PROTEOLYTIC_CLEAVAGE_RELEASES_NICD	;PSEN2(3)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_CD28_DEPENDENT_PI3K_AKT_SIGNALING	;MTOR(1),PIK3CA(2)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_CITRIC_ACID_CYCLE	;IDH3A(2),SUCLG2(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_FACILITATIVE_NA_INDEPENDENT_GLUCOSE_TRANSPORTERS	;SLC2A11(1),SLC2A3(1),SLC2A4(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_IMMUNOREGULATORY_INTERACTIONS_BETWEEN_A_LYMPHOID_AND_A_NON_LYMPHOID_CELL	;CD96(1),ITGA4(2)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_INFLUENZA_VIRAL_RNA_TRANSCRIPTION_AND_REPLICATION	;RPL7(2),RPS16(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_METABOLISM_OF_VITAMINS_AND_COFACTORS	;GSTO1(1),SLC2A3(1),SLC5A6(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_NRIF_SIGNALS_CELL_DEATH_FROM_THE_NUCLEUS	;PSEN2(3)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_PEPTIDE_CHAIN_ELONGATION	;RPL7(2),RPS16(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_PYRIMIDINE_CATABOLISM	;NT5C3(2),NT5M(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_PYRIMIDINE_METABOLISM	;NT5C3(2),NT5M(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_REGULATED_PROTEOLYSIS_OF_P75NTR	;PSEN2(3)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
REACTOME_VIRAL_MRNA_TRANSLATION	;RPL7(2),RPS16(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
SIG_BCR_SIGNALING_PATHWAY	;BLNK(1),PIK3CA(2)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
SIG_INSULIN_RECEPTOR_PATHWAY_IN_CARDIAC_MYOCYTES	;PIK3CA(2),SLC2A4(1)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
ST_B_CELL_ANTIGEN_RECEPTOR	;BLNK(1),PIK3CA(2)	7	0	8	3	0	0.272727272727	NA	0.202205882352941	1.51357493732854	0.0854400985323117
BIOCARTA_CTCF_PATHWAY	MDM2(1),TGFBR3(1);MDM2(3),MTOR(1),PIK3CA(2),TGFB2(1),TGFBR1(3)	5	2	4	7	0.285714285714	0.636363636364	4.00619136980747	0.167420814479638	1.45048133524568	0.0907798876037152
KEGG_PROSTATE_CANCER	MDM2(1),PDGFRA(1);IGF1R(1),MDM2(3),MTOR(1),PIK3CA(2),PIK3R5(1)	5	2	4	7	0.285714285714	0.636363636364	4.00619136980747	0.167420814479638	1.45048133524568	0.0907798876037152
REACTOME_CELL_SURFACE_INTERACTIONS_AT_THE_VASCULAR_WALL	PROC(1),SLC16A8(1);COL1A1(1),ITGA4(2),PF4V1(1),PIK3CA(2),PROC(1),PTPN6(1),YES1(1)	5	2	4	7	0.285714285714	0.636363636364	4.00619136980747	0.167420814479638	1.45048133524568	0.0907798876037152
BIOCARTA_ALK_PATHWAY	SMAD6(1),TGFBR3(1);HNF1A(1),TGFB2(1),TGFBR1(3)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
BIOCARTA_GH_PATHWAY	STAT5A(1);HNF1A(1),PIK3CA(2),PTPN6(1),SLC2A4(1)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
BIOCARTA_IL2RB_PATHWAY	STAT5A(1);NMI(2),PIK3CA(2),PTPN6(1)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
BIOCARTA_RAC1_PATHWAY	PDGFRA(1);NCF2(2),PIK3CA(2),WASF1(1)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
KEGG_ACUTE_MYELOID_LEUKEMIA	STAT5A(1);MTOR(1),PIK3CA(2),PIK3R5(1),ZBTB16(1)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
KEGG_DNA_REPLICATION	POLE2(1);DNA2(1),POLE2(1),RPA4(3)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
KEGG_RIG_I_LIKE_RECEPTOR_SIGNALING_PATHWAY	TRAF2(1);DHX58(2),TRAF2(3)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
KEGG_TOXOPLASMOSIS	CASP3(1);CCR5(1),PIK3CA(2),PIK3R5(1),PLA2G6(1),PPIF(1),TGFB2(1)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
REACTOME_CELL_DEATH_SIGNALLING_VIA_NRAGE_NRIF_AND_NADE	CASP3(1);ARHGEF12(1),MCF2(1),PSEN2(3)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
REACTOME_INFLUENZA_LIFE_CYCLE	NUP93(1);CANX(1),NUP155(1),RPL7(2),RPS16(1)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
REACTOME_LATE_PHASE_OF_HIV_LIFE_CYCLE	GTF2E2(1),NUP93(1);CCNT1(2),GTF2E2(2),NUP155(1)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
REACTOME_NEURORANSMITTER_RECEPTOR_BINDING_AND_DOWNSTREAM_TRANSMISSION_IN_THE_POSTSYNAPTIC_CELL	MDM2(1);GRIK1(1),GRIP2(1),MDM2(3)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
REACTOME_REGULATION_OF_BETA_CELL_DEVELOPMENT	NKX6-1(1);HNF1A(1),PTF1A(1),RPL7(2),RPS16(1)	6	1	6	5	0.142857142857	0.454545454545	4.58928687859412	0.199095022624434	1.36752691751566	0.116266094435139
BIOCARTA_AKT_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_BAD_PATHWAY	;IGF1R(1),PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_CREB_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_CTLA4_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_ERK5_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_FCER1_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_FMLP_PATHWAY	;NCF2(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_GSK3_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_IGF1R_PATHWAY	;IGF1R(1),PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_LAIR_PATHWAY	;ITGA4(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_LONGEVITY_PATHWAY	;IGF1R(1),PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_LYM_PATHWAY	;ITGA4(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_MONOCYTE_PATHWAY	;ITGA4(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_NFAT_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_NGF_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_PTEN_PATHWAY	;ILK(1),PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_RACCYCD_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_RAS_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_TFF_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_TRKA_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
BIOCARTA_VEGF_PATHWAY	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
KEGG_APOPTOSIS	CASP3(1),TNFRSF10C(2),TRAF2(1);CAPN1(1),PIK3CA(2),PIK3R5(1),TNFRSF10A(1),TNFRSF10C(1),TRAF2(3)	4	3	3	8	0.428571428571	0.727272727273	3.29271244101738	0.220211161387632	1.2672822831655	0.183112423628874
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM	;UGT1A3(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
KEGG_BASAL_CELL_CARCINOMA	;WNT2B(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
KEGG_GLYCOSYLPHOSPHATIDYLINOSITOLGPI_ANCHOR_BIOSYNTHESIS	;PIGG(1),PIGW(1)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION	;ITGA4(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
KEGG_LONG_TERM_DEPRESSION	;IGF1R(1),PLA2G6(1)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
KEGG_MELANOGENESIS	;WNT2B(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
KEGG_NATURAL_KILLER_CELL_MEDIATED_CYTOTOXICITY	CASP3(1),PRF1(1),PTK2B(1),TNFRSF10C(2);PIK3CA(2),PIK3R5(1),PRF1(3),PTK2B(1),PTPN6(1),SHC2(1),TNFRSF10A(1),TNFRSF10C(1)	4	3	3	8	0.428571428571	0.727272727273	3.29271244101738	0.220211161387632	1.2672822831655	0.183112423628874
KEGG_PORPHYRIN_AND_CHLOROPHYLL_METABOLISM	;UGT1A3(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
KEGG_RETINOL_METABOLISM	;UGT1A3(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
KEGG_SELENOCOMPOUND_METABOLISM	;CTH(1),PAPSS1(1)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_CELL_CELL_ADHESION_SYSTEMS	;CLDN23(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_DOWNSTREAM_TCR_SIGNALING	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_FORMATION_OF_THE_TERNARY_COMPLEX_AND_SUBSEQUENTLY_THE_43S_COMPLEX	;EIF3A(1),RPS16(1)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_GAB1_SIGNALOSOME	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_GLUCURONIDATION	;UGT1A3(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_HDL_MEDIATED_LIPID_TRANSPORT	;SCARB1(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_HIV1_TRANSCRIPTION_ELONGATION	;CCNT1(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_LIPOPROTEIN_METABOLISM	;SCARB1(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_NRAGE_SIGNALS_DEATH_THROUGH_JNK	;ARHGEF12(1),MCF2(1)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_SYNTHESIS_OF_GLYCOSYLPHOSPHATIDYLINOSITOL	;PIGG(1),PIGW(1)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_SYNTHESIS_OF_GPI_ANCHORED_PROTEINS	;PIGG(1),PIGW(1)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_TAT_MEDIATED_HIV1_ELONGATION_ARREST_AND_RECOVERY	;CCNT1(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_TCR_SIGNALING	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
REACTOME_TIE2_SIGNALING	;PIK3CA(2)	7	0	9	2	0	0.181818181818	NA	0.359477124183007	1.1965860528262	0.183112423628874
